Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AGRESSION_WAR_NAME_REPARATIONS_PEU_CHL;The $ORDER$War of the Pacific;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_BOL_CHL;The $ORDER$War of the Pacific;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
permanent_colonial_claim;Reconquer Colony;;;;;;;;;;;;;
permanent_colonial_claim_short;Reconquer Colony;;;;;;;;;;;;;
permanent_colonial_claim_desc;Acquire a §Ystate§W that is a §Yrightful colony§W of ours according to the Great Powers Conference.;;;;;;;;;;;;;
permanent_colonial_claim_setup;Acquire $STATE$ from $RECIPIENT$.;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS;$ORDER$War of $FIRST$ Aggression;;;;;;;;;;;;;
colonial_conquest;Colonial Conquest;;;;;;;;;;;;;
colonial_conquest_desc;Acquire an enemy §Ystate§W where we have §Ycolonial claims§W, but this will gives us a random amount of §Rinfamy§W from §R0.5 to 2§W.;;;;;;;;;;;;;
colonial_conquest_short;Acquire $STATE$;;;;;;;;;;;;;
colonial_conquest_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
war_reparations;Reparations;;;;;;;;;;;;;
war_reparations_desc;Demand §Yreparations§W from a country.;;;;;;;;;;;;;
war_reparations_short;Demand Reparations;;;;;;;;;;;;;
war_reparations_setup;Demand §Yreparations§W from a country.;;;;;;;;;;;;;
install_democracy_make_puppet;Install a Democratic Puppet;;;;;;;;;;;;;
install_democracy_make_puppet_desc;Install a §Ydemocratic puppet government§W in the country's capital;;;;;;;;;;;;;
install_democracy_make_puppet_short;Install a democratic puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_democracy_make_puppet_setup;Install a democratic puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_communism_make_puppet;Install a Communist Puppet;;;;;;;;;;;;;
install_communism_make_puppet_desc;Install a §Ycommunist puppet government§W in the country's capital;;;;;;;;;;;;;
install_communism_make_puppet_short;Install a communist puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_communism_make_puppet_setup;Install a communist puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_fascism_make_puppet;Install a Fascist Puppet;;;;;;;;;;;;;
install_fascism_make_puppet_desc;Install a §Yfascist puppet government§W in the country's capital;;;;;;;;;;;;;
install_fascism_make_puppet_short;Install a fascist puppet government in $RECIPIENT$;;;;;;;;;;;;;
install_fascism_make_puppet_setup;Install a fascist puppet government in $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_BOR_EGY;$ORDER$French Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_FRA_EGY;$ORDER$French Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_NET_EGY;$ORDER$Dutch Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_SPA_EGY;$ORDER$Spanish Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_AUS_EGY;$ORDER$Austrian Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_RUS_EGY;$ORDER$Russian Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_PRU_EGY;$ORDER$Prussian Intervention in Egypt;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_ENG_EGY;$ORDER$British Intervention in Egypt;;;;;;;;;;;;;
AGRESSION_WAR_NAME_TUR_ITA;The $ORDER$Italo-Turkish War;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_YNN;The $ORDER$Panthay Rebellion;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_QNG_YNN;The $ORDER$Panthay Rebellion;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_XIN;The $ORDER$Dungan Revolt;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_QNG_XIN;The $ORDER$Dungan Revolt;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_QNG_KLS;The $ORDER$Dungan Revolt;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME_QNG_KLS;The $ORDER$Dungan Revolt;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_KLS;The Dungan Revolt in Tsinghai;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_QNG_KLS;The Dungan Revolt in Tsinghai;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_BHR_QAT;$ORDER$Qatari-Bahraini War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_BHR_QAT;$ORDER$Qatari-Bahraini War;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_CIR;The $ORDER$Russo-Circassian War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_CIR;The $ORDER$Russo-Circassian War;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_DAG;The $ORDER$Murid War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_DAG;The $ORDER$Murid War;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_PNJ;The $ORDER$Anglo-Sikh War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_ENG_PNJ;The $ORDER$Anglo-Sikh War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_ARC_ENT;The $ORDER$Platine War;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_ARC_ENT;The $ORDER$Platine War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_SOV_RUS;The Russian Civil War;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_SOV_RUS;The Russian Civil War;;;;;;;;;;;;;
NO_ALLOWED_STATES;(There are no applicable states).;;;;;;;;;;;;;
po_reduce_prestige;Prestige is reduced by §R-$VALUE$§W.;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
